UNI_ID,COURSE_NAME,TITLE,PUBLICATION_YEAR,AUTHORS,PUBLISHER,RESOURCE_TYPE
3,swallowing across the lifespan,archives of otolaryngology–head & neck surgery,,,,journal
3,swallowing across the lifespan,cold spring harbor perspectives in medicine,,,,journal
3,swallowing across the lifespan,the laryngoscope,,,,journal
3,swallowing across the lifespan,archives of internal medicine,,,,journal
3,swallowing across the lifespan,american journal of physical medicine and rehabilitation,,,,journal
3,swallowing across the lifespan,international journal of language & communication disorders,,,,journal
3,"borderlands identity, culture and belonging",diogenes,,,,journal
3,"borderlands identity, culture and belonging",post-colonial studies: the key concepts,,,routledge,book
3,"borderlands identity, culture and belonging",differences: a journal of feminist cultural studies,,,,journal
3,"borderlands identity, culture and belonging",transnational tourism experiences at gallipoli,,,springer,book
3,organisational stakeholder management,organisational behaviour: core concepts and applications,,,john wiley  sons australia,book
3,"exercise and neurological, neuromuscular and immunological health",gm,,,,journal
3,organisational stakeholder management,human resource management international digest,,,,journal
3,creativity and arts industries,"creativity: theory, history, practice",,,routledge,book
3,"exercise and neurological, neuromuscular and immunological health",developmental medicine and child neurology,,,mac keith press,journal
3,"personal development, health and physical education curriculum and pedagogy","asia-pacific journal of health, sport and physical education",,,,journal
3,"supporting young people's health and safety perspectives on drugs, alcohol and sexual",annual review of public health,,,,journal
3,"supporting young people's health and safety perspectives on drugs, alcohol and sexual",medical journal of australia,,,,journal
3,framing modernity,painter of modern life and other essays,,,phaidon,book
3,framing modernity,artforum international,,,,journal
3,"personal development, health and physical education curriculum and pedagogy",journal of teaching in physical education,,,,journal
3,"supporting young people's health and safety perspectives on drugs, alcohol and sexual",youth and society: exploring the social dynamics of youth experience,,,oxford university press,book
3,"supporting young people's health and safety perspectives on drugs, alcohol and sexual",health promotion programs: from theory to practice,,,josseybass,book
3,"personal development, health and physical education curriculum and pedagogy","28th achper international conference: a defining time for health, physical education, sport and recreation",,,,proceedings
3,writing genre,a short guide to writing about art,,,pearson,book
3,professional naturopathic studies,journal of complementary medicine,,,,journal
3,australian criminal law i,introducing the law,,,cch australia limited,book
3,writing genre,the houghton mifflin anthology of short fiction,,,houghton mifflin co.,book
3,"borderlands identity, culture and belonging",a companion to postcolonial studies,,,blackwell publishing limited,book
3,"exercise and neurological, neuromuscular and immunological health",breast cancer research and treatment,,,,journal
3,organisational stakeholder management,industrial and commercial training,,,,journal
3,"supporting young people's health and safety perspectives on drugs, alcohol and sexual","addiction apr2003, vol",,,,journal
3,framing modernity,african arts,,,,journal
3,children and the law,family process,,,,journal
3,australian criminal law i,university of new south wales law journal,,,,journal
3,writing genre,dracula,,,anchor press,book
3,social work direct practice ii,the road to social work & human service practice,,,cengage learning,book
3,writing genre,writing fantasy & science fiction,,,a  c black,book
3,australian criminal law i,"review of the forensic provisions of the mental health act 1990 and the mental health (criminal procedure) act 1990, consultation paper",,,nsw dept. of health,book
3,writing genre,the oxford book of gothic tales,,,oxford university press,book
3,"the role of the midwife as leader, mentor and educator",health & social care in the community,,,,journal
