uni_id,course_name,title,authors,publication_year,resource_type,field_of_education
3,swallowing across the lifespan,pathology of the head and neck,antoniocardesa,2006.0,book,health
3,swallowing across the lifespan,bacterial pathogenesis a subject collection from cold spring harbor perspectives in medicine,pascalecossart,2014.0,book,health
3,swallowing across the lifespan,the use of the laryngoscope in diseases of the throat with an appendix on rhinoscopy,morellmackenzie,1865.0,book,health
3,swallowing across the lifespan,oxford american handbook of physical medicine and rehabilitation,lynweiss,2010.0,book,health
3,borderlands identity culture and belonging,diogenes,markusher,2009.0,book,society
3,borderlands identity culture and belonging,post colonial studies the key concepts,billashcroft,1995.0,book,society
3,borderlands identity culture and belonging,feminist cultural studies,terrylovell,1995.0,book,society
3,borderlands identity culture and belonging,transnational tourism experiences at gallipoli,jimmckay,2018.0,book,society
3,organisational stakeholder management,organisational behaviour core concepts and applications,jwood,2006.0,book,society
3,exercise and neurological neuromuscular and immunological health,gm,lisafirth,2011.0,book,health
3,organisational stakeholder management,change management,davidpollitt,2009.0,book,society
3,creativity and arts industries,creativity theory history practice,robpope,2005.0,book,arts
3,exercise and neurological neuromuscular and immunological health,oxford handbook of paediatrics,roberttasker,1900.0,book,health
3,personal development health and physical education curriculum and pedagogy,the present and future of sport and physical education in the asia pacific region proceedings the 1st asia pacific congress of sport and physical education university presidents june 6 8 1996,congressasiapacific,1996.0,book,society
3,supporting young people's health and safety perspectives on drugs alcohol and sexual,surgery and surgeons in edinburgh and sydney over forty years ago,skirvingscot,1926.0,book,health
3,framing modernity,the painter of modern life and other essays,charlesbaudelaire,1964.0,book,arts
3,framing modernity,art now,larslarsen,2001.0,book,arts
3,personal development health and physical education curriculum and pedagogy,socialization into physical education,sandrastroot,1993.0,book,society
3,supporting young people's health and safety perspectives on drugs alcohol and sexual,youth and society exploring the social dynamics of youth experience,rwhite,2008.0,book,society
3,supporting young people's health and safety perspectives on drugs alcohol and sexual,health promotion programs from theory to practice,carlfertman,2010.0,book,health
3,personal development health and physical education curriculum and pedagogy,conference proceedings of the 28th achper international conference a defining time health physical education sport and recreation 27 29 november 2013 melbourne australia,councilaustralian,2013.0,onlineresource,society
3,writing genre,a short guide to writing about art,sylvanbarnet,1900.0,book,arts
3,australian criminal law i,introducing the law,garyheilbronn,1996.0,book,society
3,writing genre,the houghton mifflin anthology of short fiction,patriciahampl,1989.0,book,arts
3,borderlands identity culture and belonging,a companion to postcolonial studies,henryschwarz,2000.0,book,society
3,exercise and neurological neuromuscular and immunological health,breast cancer research and treatment progress and failures in the 20 year war on breast cancer hearing before the human resources and intergovernmental relations subcommittee of the committee on government operations house of representatives one hundred second congress first session december 11 1991,statesunited,1992.0,book,society
3,organisational stakeholder management,priorities for industrial and commercial training,philliplynch,1971.0,governmentpublication,society
3,framing modernity,african arts,hrobert,1967.0,book,arts
3,children and the law,family process,nathanackerman,1970.0,book,society
3,writing genre,dracula,bramstoker,1897.0,book,arts
3,social work direct practice ii,the road to social work and human service practice,lesleychenoweth,2008.0,book,hospitality
3,writing genre,writing fantasy and science fiction,lisatuttle,2001.0,book,arts
